Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2000,29.9907403589142
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2000,0.0640808079494101
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,2000,5.34855973203537
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,2000,26.8217543508578
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2000,43.0791626375201
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2001,4.52849486902851
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2001,60.2
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2001,2.63965021485872
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,2001,31.650939416316
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,2001,0.660146377009928
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2001,38.5320608612719
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2001,0.089901370457273
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,2001,6.34661931839768
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,2001,33.4810948744147
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2001,49.0808315896951
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2002,9.14942508560748
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2002,61.5932992681952
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2002,4.59570433077551
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,2002,48.82
Germany,DEU,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2002,43.7461
Germany,DEU,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2002,53.9857
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,2002,1.53787558175083
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2002,46.5942011179917
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2002,0.320461975542327
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,2002,6.71032243705404
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,2002,56.48
United Kingdom,GBR,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2002,53.8259
United Kingdom,GBR,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2002,59.1173
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2002,58.7854038836952
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2003,13.2075861035303
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2003,64.2
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2003,6.2
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,2003,55.9
Germany,DEU,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2003,49.2239
Germany,DEU,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2003,59.7484
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,2003,1.68648997063625
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2003,48.4352658899653
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2003,0.558576244860521
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,2003,7.00769172611251
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,2003,64.82
United Kingdom,GBR,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2003,61.9569
United Kingdom,GBR,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2003,67.6521
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2003,61.6971171244207
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2004,19.073672274442
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2004,65.9559634648989
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2004,7.3
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,2004,64.73
Germany,DEU,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2004,60.3556
Germany,DEU,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2004,69.0886
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,2004,1.97613649190559
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2004,62.3939296327259
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2004,1.28613764134527
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,2004,8.4251186825406
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,2004,65.61
United Kingdom,GBR,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2004,62.4922
United Kingdom,GBR,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2004,68.8558
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2004,64.7582564759896
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2005,21.022747248827
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2005,71.66
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2005,8.52325700269541
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,2005,68.71
Germany,DEU,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2005,64.2079
Germany,DEU,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2005,73.1993
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,2005,2.388099909
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2005,66.9210661042901
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2005,3.54915571796492
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,2005,7.48854252992921
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,2005,70.0
United Kingdom,GBR,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2005,66.6413
United Kingdom,GBR,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2005,70.8889
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2005,67.9681015
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2006,28.17840004
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2006,72.40000153
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2006,10.5231526193851
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,2006,72.16
Germany,DEU,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2006,68.4159
Germany,DEU,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2006,75.921
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,2006,2.80549986534254
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2006,68.6852703213795
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2006,5.54503608300536
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,2006,7.60713967477381
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,2006,68.82
United Kingdom,GBR,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2006,64.6318
United Kingdom,GBR,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2006,73.4623
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2006,68.93119812
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2007,30.87999916
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2007,73.2
Canada,CAN,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2007,72.3
Canada,CAN,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2007,74.1
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2007,16.0
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,2007,75.16
Germany,DEU,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2007,71.4016
Germany,DEU,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2007,78.9275
